GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BatBat-Game,al.tonikolaba.handlers,Content,25,87,0,4,9,17,4,7,4,5
BatBat-Game,al.tonikolaba.handlers,Keys,70,63,17,13,14,20,15,7,1,6
BatBat-Game,al.tonikolaba.handlers,LoggingHelper,7,5,0,0,2,1,1,1,1,1
BatBat-Game,al.tonikolaba.tilemap,TileMap,185,325,15,11,32,61,17,16,8,12
BatBat-Game,al.tonikolaba.tilemap,Tile,6,9,0,0,2,4,2,1,2,1
BatBat-Game,al.tonikolaba.tilemap,Background,271,33,16,0,47,11,18,2,10,2
BatBat-Game,al.tonikolaba.entity,Portal,177,0,10,0,39,0,11,0,6,0
BatBat-Game,al.tonikolaba.entity,HUD,59,29,4,0,9,8,3,1,1,1
BatBat-Game,al.tonikolaba.entity,EnergyParticle,113,0,8,0,29,0,8,0,4,0
BatBat-Game,al.tonikolaba.entity,FireBall,176,0,16,0,40,0,14,0,6,0
BatBat-Game,al.tonikolaba.entity,Teleport,10,63,0,2,4,13,1,2,1,1
BatBat-Game,al.tonikolaba.entity,PlayerSave,7,25,0,0,4,14,1,8,1,8
BatBat-Game,al.tonikolaba.entity,Explosion,261,0,6,0,35,0,7,0,4,0
BatBat-Game,al.tonikolaba.entity,MapObject,407,230,43,13,57,45,48,7,20,7
BatBat-Game,al.tonikolaba.entity,EnemyProjectile,0,10,0,0,0,4,0,3,0,3
BatBat-Game,al.tonikolaba.entity,Spirit,880,0,92,0,150,0,51,0,5,0
BatBat-Game,al.tonikolaba.entity,Enemy,54,7,10,0,17,3,10,1,5,1
BatBat-Game,al.tonikolaba.entity,Animation,75,30,10,0,18,12,13,3,8,3
BatBat-Game,al.tonikolaba.entity,Title,128,23,10,0,30,8,11,2,6,2
BatBat-Game,al.tonikolaba.entity,Enemy.EnemyType,0,33,0,0,0,2,0,1,0,1
BatBat-Game,al.tonikolaba.entity,Player,1027,663,193,27,185,114,130,17,23,14
BatBat-Game,al.tonikolaba.gamestate,MenuState,86,20,13,0,25,3,10,1,3,1
BatBat-Game,al.tonikolaba.gamestate,OptionsState,99,20,14,0,30,3,12,1,4,1
BatBat-Game,al.tonikolaba.gamestate,GameStateManager,115,78,15,9,28,19,14,5,5,2
BatBat-Game,al.tonikolaba.gamestate,BasicState,173,67,22,0,35,13,15,1,4,1
BatBat-Game,al.tonikolaba.gamestate,Level1State,306,0,0,0,15,0,2,0,2,0
BatBat-Game,al.tonikolaba.gamestate,Level4State,1292,0,112,0,241,0,69,0,13,0
BatBat-Game,al.tonikolaba.gamestate,Level3State,95,361,18,0,23,13,11,2,2,2
BatBat-Game,al.tonikolaba.gamestate,GameState,886,372,120,13,181,73,71,12,7,8
BatBat-Game,al.tonikolaba.gamestate,HowtoPlay,103,0,6,0,27,0,7,0,4,0
BatBat-Game,al.tonikolaba.gamestate,AcidState,115,0,6,0,32,0,8,0,5,0
BatBat-Game,al.tonikolaba.gamestate,LevelTest,224,0,18,0,41,0,13,0,4,0
BatBat-Game,al.tonikolaba.gamestate,PauseState,73,4,4,0,20,2,5,1,3,1
BatBat-Game,al.tonikolaba.gamestate,Level2State,0,306,0,0,0,15,0,2,0,2
BatBat-Game,al.tonikolaba.entity.enemies,XhelBat,128,28,26,0,28,8,15,1,2,1
BatBat-Game,al.tonikolaba.entity.enemies,Zogu,69,66,10,0,13,16,7,2,2,2
BatBat-Game,al.tonikolaba.entity.enemies,RedEnergy,235,0,26,0,53,0,17,0,4,0
BatBat-Game,al.tonikolaba.entity.enemies,Ufo,261,42,41,0,61,11,27,1,5,1
BatBat-Game,al.tonikolaba.entity.enemies,Flyer,51,197,12,0,12,13,7,1,1,1
BatBat-Game,al.tonikolaba.entity.enemies,Flyer.FlyerType,0,25,0,0,0,5,0,2,0,2
BatBat-Game,al.tonikolaba.audio,JukeBox,105,104,15,3,34,28,18,7,9,7
BatBat-Game,al.tonikolaba.entity.batbat,Piece,76,0,0,0,17,0,3,0,3,0
BatBat-Game,al.tonikolaba.main,BatBatSpring,27,0,0,0,7,0,3,0,3,0
BatBat-Game,al.tonikolaba.main,GamePanel,248,0,18,0,72,0,19,0,10,0
BatBat-Game,al.tonikolaba.main,BatBatGame,9,0,0,0,3,0,2,0,2,0
BatBat-Game,al.tonikolaba.main,BatBatGame.new Runnable() {...},44,0,0,0,13,0,2,0,2,0
